"county","candidate","percent","votes"
"baker","Clinton",20.5,1797
"baker","Trump",70.8,6218
"baker","Other",8.7,764
"benton","Clinton",59.9,29193
"benton","Trump",27.6,13445
"benton","Other",12.5,6115
"clackamas","Clinton",47.7,102095
"clackamas","Trump",41.3,88392
"clackamas","Other",11,23552
"clatsop","Clinton",47.1,9252
"clatsop","Trump",41.4,8138
"clatsop","Other",11.6,2274
"columbia","Clinton",38.2,10167
"columbia","Trump",49.7,13217
"columbia","Other",12.1,3234
"coos","Clinton",33.4,10448
"coos","Trump",57.1,17865
"coos","Other",9.6,3000
"crook","Clinton",21.7,2637
"crook","Trump",69.9,8511
"crook","Other",8.4,1024
"curry","Clinton",34.1,4300
"curry","Trump",57.2,7212
"curry","Other",8.7,1099
"deschutes","Clinton",43.1,42444
"deschutes","Trump",46.4,45692
"deschutes","Other",10.6,10421
"douglas","Clinton",26.3,14096
"douglas","Trump",64.6,34582
"douglas","Other",9,4843
"gilliam","Clinton",23.5,239
"gilliam","Trump",65.8,671
"gilliam","Other",10.7,109
"grant","Clinton",17,739
"grant","Trump",74,3210
"grant","Other",9,391
"harney","Clinton",17.2,683
"harney","Trump",73.3,2912
"harney","Other",9.5,379
"hood river","Clinton",59.7,6510
"hood river","Trump",30,3272
"hood river","Other",10.3,1128
"jackson","Clinton",40.7,44447
"jackson","Trump",49.3,53870
"jackson","Other",10.1,11010
"jefferson","Clinton",31.5,2980
"jefferson","Trump",58,5483
"jefferson","Other",10.5,996
"josephine","Clinton",30.2,13453
"josephine","Trump",60.4,26923
"josephine","Other",9.4,4184
"klamath","Clinton",23.6,7210
"klamath","Trump",67,20435
"klamath","Other",9.4,2862
"lake","Clinton",16.3,639
"lake","Trump",76.9,3022
"lake","Other",6.8,269
"lane","Clinton",53.5,102753
"lane","Trump",35,67141
"lane","Other",11.5,22056
"lincoln","Clinton",49.5,12501
"lincoln","Trump",39.7,10039
"lincoln","Other",10.8,2716
"linn","Clinton",30.6,17995
"linn","Trump",57,33488
"linn","Other",12.3,7236
"malheur","Clinton",21.5,2246
"malheur","Trump",68.9,7194
"malheur","Other",9.5,995
"marion","Clinton",42.2,57788
"marion","Trump",46.3,63377
"marion","Other",11.5,15675
"morrow","Clinton",24.4,1017
"morrow","Trump",65.3,2721
"morrow","Other",10.3,429
"multnomah","Clinton",73.3,292561
"multnomah","Trump",17,67954
"multnomah","Other",9.7,38588
"polk","Clinton",40.7,16420
"polk","Trump",47,18940
"polk","Other",12.2,4935
"sherman","Clinton",19.9,202
"sherman","Trump",72,732
"sherman","Other",8.2,83
"tillamook","Clinton",41.8,5768
"tillamook","Trump",47.4,6538
"tillamook","Other",10.8,1497
"umatilla","Clinton",27.8,7673
"umatilla","Trump",61.8,17059
"umatilla","Other",10.4,2865
"union","Clinton",25.1,3249
"union","Trump",65,8431
"union","Other",9.9,1288
"wallowa","Clinton",25.6,1116
"wallowa","Trump",65.2,2848
"wallowa","Other",9.2,402
"wasco","Clinton",40,4781
"wasco","Trump",48.8,5833
"wasco","Other",11.3,1350
"washington","Clinton",56.9,153251
"washington","Trump",30.9,83197
"washington","Other",12.2,32784
"wheeler","Clinton",18.9,155
"wheeler","Trump",72.2,591
"wheeler","Other",8.8,72
"yamhill","Clinton",39.6,19301
"yamhill","Trump",47.7,23250
"yamhill","Other",12.7,6202
