"county","tot_voters"
"baker",10861
"benton",58258
"clackamas",267754
"clatsop",24848
"columbia",34921
"coos",40133
"crook",15180
"curry",15731
"deschutes",121220
"douglas",70232
"gilliam",1264
"grant",5097
"harney",4745
"hood river",13345
"jackson",142423
"jefferson",12511
"josephine",59913
"klamath",39450
"lake",4729
"lane",241728
"lincoln",31965
"linn",75927
"malheur",13969
"marion",182454
"morrow",5504
"multnomah",502541
"polk",51607
"sherman",1240
"tillamook",17347
"umatilla",38069
"union",16396
"wallowa",5198
"wasco",15540
"washington",334077
"wheeler",981
"yamhill",62045
