"rank","county","population"
1,"multnomah",790294
2,"washington",574326
3,"clackamas",401515
4,"lane",362895
5,"marion",330700
6,"jackson",212567
7,"deschutes",175268
8,"linn",120547
9,"douglas",107685
10,"yamhill",102659
11,"benton",87572
12,"josephine",84745
13,"polk",79391
14,"umatilla",76531
15,"klamath",66016
16,"coos",63121
17,"columbia",49600
18,"lincoln",47038
19,"clatsop",37831
20,"malheur",30380
21,"union",25790
22,"wasco",25775
23,"tillamook",25653
24,"hood river",23137
25,"jefferson",22666
26,"curry",22483
27,"crook",21630
28,"baker",16005
29,"morrow",11190
30,"lake",7829
31,"harney",7200
32,"grant",7185
33,"wallowa",6856
34,"gilliam",1859
35,"sherman",1680
36,"wheeler",1358
